timestamp,git_commit,model,strategy,few_shot_n,dataset_file,limit_config,batch_size,delay_seconds,max_retries,n_evaluated,ground_truth_count_attack,ground_truth_count_support,ground_truth_count_no_relation,predicted_count_attack,predicted_count_support,predicted_count_no_relation,accuracy,true_positive_attack,false_positive_attack,false_negative_attack,true_negative_attack,true_positive_support,false_positive_support,false_negative_support,true_negative_support,true_positive_no_relation,false_positive_no_relation,false_negative_no_relation,true_negative_no_relation,precision_attack,precision_support,precision_no_relation,recall_attack,recall_support,recall_no_relation,f1_score_attack,f1_score_support,f1_score_no_relation,macro_f1,comment,ds,n_eff,n_correct
6/7/26 18:02,f1ca24f,gemma4:latest,C,0,NR_WebDataset/data-00000-of-00001.arrow,1000,5,0,1,1000,335,334,331,247,286,467,0.624,168,79,167,586,186.0,100.0,148.0,566.0,270.0,197.0,61.0,472.0,0.680161943,0.6503496503496503,0.5781584582441114,0.5014925373134328,0.5568862275449101,0.8157099697885196,0.5773195876288659,0.6,0.6766917293233082,0.6180037723173913,,NR_Web,1000,624
6/7/26 18:41,f1ca24f,gemma4:latest,C,0,NR_WebDataset/data-00000-of-00001.arrow,1000,20,0,1,1000,320,338,342,220,272,307,0.60875,131,89,127,452,161.0,111.0,108.0,419.0,195.0,112.0,77.0,415.0,0.5954545454545455,0.5919117647058824,0.6351791530944625,0.5077519379844961,0.5985130111524164,0.7169117647058824,0.5481171548117154,0.5951940850277265,0.6735751295336787,0.6056287897910402,,NR_Web,799,486
6/7/26 20:28,f1ca24f,gemma4:latest,C,10,NR_WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,312,330,358,259,298,442,0.632,161,98,150,590,198.0,100.0,132.0,569.0,273.0,169.0,85.0,472.0,0.6216216216216216,0.6644295302013423,0.6176470588235294,0.5176848874598071,0.6,0.7625698324022346,0.5649122807017544,0.6305732484076434,0.6824999999999999,0.6259951763697992,,NR_Web,999,631
6/7/26 21:19,5530036,gemma4:latest,C,20,NR_WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,331,329,340,301,298,400,0.641,192,109,139,559,190.0,108.0,138.0,563.0,259.0,141.0,81.0,518.0,0.6378737541528239,0.6375838926174496,0.6475,0.5800604229607251,0.5792682926829268,0.7617647058823529,0.6075949367088608,0.6070287539936102,0.7,0.6382078969008237,,NR_Web,999,640
6/7/26 23:20,eabda97,gemma4:latest,D,0,NR_WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,339,337,324,272,299,417,0.594,175,97,163,553,188.0,111.0,147.0,542.0,231.0,186.0,84.0,487.0,0.6433823529411765,0.6287625418060201,0.5539568345323741,0.5177514792899408,0.5611940298507463,0.7333333333333333,0.5737704918032787,0.5930599369085173,0.6311475409836065,0.5993259898984674,,NR_Web,988,587
6/8/26 9:11,eabda97,gemma4:latest,A,0,WebDataset/data-00000-of-00001.arrow,1000,5,0,2,1000,505,495,0,477,0,0,0.64,311,166,194,329,,,,,,,,,0.6519916142557652,,,0.6158415841584158,,,0.6334012219959267,,,0.6398833221963917,,Web,1000,640
6/8/26 9:52,eabda97,gemma4:latest,B,0,WebDataset/data-00000-of-00001.arrow,1000,5,0,2,1000,505,495,0,509,480,0,0.696,357,152,148,343,339.0,141.0,156.0,364.0,0.0,11.0,0.0,989.0,0.7013752455795678,0.70625,0.0,0.7069306930693069,0.6848484848484848,0.0,0.7041420118343196,0.6953846153846154,0.0,"0,6998 ","11 elements were labeled as 0 for attack and 0 for support -> current evaluations interprets this as no relation. Macrof1 should be 0,6998 ",Web,989,688
6/8/26 10:39,7f3db90,gemma4:latest,A,0,WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,496,504,0,455,0,0,0.6829787234042554,310,145,153,332,,,,,,,,,0.6813186813186813,,,0.6695464362850972,,,0.6753812636165578,,,0.6828049769226241,,Web,940,642
6/8/26 11:10,7f3db90,gemma4:latest,B,0,WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,496,504,0,460,440,0,0.6966666666666667,315,145,128,312,312.0,128.0,145.0,315.0,0.0,0.0,0.0,900.0,0.6847826086956522,0.7090909090909091,0.0,0.7110609480812641,0.6827133479212254,0.0,0.6976744186046512,0.6956521739130435,0.0,0.696663296,"Fehler in der Berechnung, korrekt waere: 0.696663296 (instead of )",Web,900,627
6/8/26 12:00,f8481d5,gemma4:latest,A,7,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,483,517,0,496,0,0,0.669,324,172,159,345,,,,,,,,,0.6532258064516129,,,0.6708074534161491,,,0.6618998978549541,,,0.668853965,,Web,1000,669
6/8/26 12:38,f8481d5,gemma4:latest,B,10,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,484,516,0,538,462,0,0.66,341,197,143,319,319.0,143.0,197.0,341.0,,,,,0.6338289962825279,0.6904761904761905,,0.7045454545454546,0.6182170542635659,,0.6673189823874756,0.6523517382413088,,0.6598353603143922,,Web,1000,660
6/8/26 13:15,f8481d5,gemma4:latest,A,14,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,503,497,0,468,0,0,0.669,320,148,183,349,,,,,,,,,0.6837606837606838,,,0.6361829025844931,,,0.659114315,,,0.6687213946929367,,Web,1000,669
6/8/26 13:50,f8481d5,gemma4:latest,B,20,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,505,495,0,485,515,0,0.7,345,140,160,355,355.0,160.0,140.0,345.0,,,,,0.711340206,0.6893203883495146,,0.6831683168316832,0.7171717171717171,,0.696969697,0.7029702970297029,,0.699969997,,Web,1000,700
6/8/26 15:01,f8481d5,gemma4:latest,A,10,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,502,498,0,475,0,0,0.687,332,143,170,355,,,,,,,,,0.6989473684210527,,,0.6613545816733067,,,0.6796315250767656,,,0.6868343353634072,,Web,1000,687
6/8/26 16:56,f8481d5,gemma4:latest,A,20,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,481,519,0,543,0,0,0.672,348,195,133,324,,,,,,,,,0.6408839779005525,,,0.7234927234927235,,,0.6796875000000001,,,0.6718109631147542,,Web,1000,672
6/9/26 23:16,f8481d5,gemma4:latest,A,0,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,486,514,0,493,0,0,0.649,314,179,172,335,,,,,,,,,0.6369168356997972,,,0.6460905349794238,,,0.6414708886618998,,,0.6488451407070519,,Web,1000,649
6/9/26 23:55,b898b63,gemma4:latest,C,0,NR_WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,328,310,362,259,296,445,0.64,169,90,159,582,188.0,108.0,122.0,582.0,283.0,162.0,79.0,476.0,0.6525096525096525,0.6351351351351351,0.6359550561797753,0.5152439024390244,0.6064516129032258,0.7817679558011049,0.5758091993185689,0.6204620462046204,0.701363073,0.6325447728778247,,NR_Web,1000,640
